à		Vit, I, E
dân vận		Vit
con bệnh		Nc, Ng
chềnh ềnh		Aa
chính quốc		Na
động vật nguyên sinh		Nc, Ng
chủ nghĩa khắc kỷ		Na
đau thương		Aa
cơ bản		Na, Aa
choài		Vt
đạn dumdum		Nc, Ng
cụ kị		Nc, Ng
cơm lam		Nc, Ng
chủ yếu		Aa
chu niên		Na
đa đa ích thiện		X
đại đăng khoa		Vit
e-spe-ran-to		Np
can đảm		Aa
bửu bối		Nc, Ng
đắp đổi		Vit
huyên thiên		Vit, Aa
cửa quan		Nc, Na
chấm mút		Vit
chết chùm		Vit
công quả		Na
công thải		Nc
gia phong		Na
điểm xuyết		Vit
cơn cớ		Na
di hoạ		Na, Vit
ghi lò		Nc
bọ mò		Nc, Ng
bụi bờ		Nc, Ng
dao nhíp		Nc, Ng
chiến hào		Nc, Ng
chủ tịch đoàn		Nc, Ng
đổ mồ hôi sôi nước mắt		X
gãi đúng chỗ ngứa		X
cum		Nc, Nu
bộ xử lý		Nc, Ng
cách li		Vt
cương thường		Na
đắc địa		Aa
cảm thán		Vit
chè xanh		Nc, Ng
cung kính		Aa
định hướng		Vt
đức ông chồng		Nc, Ng
được đằng chân lân đằng đầu		X
cớ sao		Ja
cay độc		Aa
đô hội		Na
bỏ mứa		Vit
cách		Na, Vt
cấp nước		Na, Vit
con giai		Nc, Ng
chưng cất		Vt
công kênh		Vt
dân quân tự vệ		Nc, Ng
cun		Nc, Ng
cà chua		Nc, Ng
canh gác		Vt
gày gò		Aa
dấm da dấm dẳn		Aa
cuarơ		Np
chan chát		Aa
cheo chéo		Aa
choắt cheo		Aa
giai thoại		Na
ngón tay trỏ		Nc, Ng
dao rựa		Nc, Ng
cam go		Aa
chủ động		Aa
cặn		Nc, Ng
có chửa		Vit
con hát		Nc, Ng
chìa vôi		Nc, Ng
chắn song		Nc, Ng
công lênh		Na
giờ hoàng đạo		Na
dun		Vt
cửa mình		Nc, Ng
chân lí		Na
đại phá		Vt
co		Nu, Na, Vt
dân nguyện		Na
chòm xóm		Nc, Ng
chéo khăn		Nc, Ng
đảng phái		Nc, Ng
đài gương		Na
lên thác xuống ghềnh		X
dao tể		Nc, Ng
căm hận		Vitim
chính đề		Na
của nợ		Na
của cải		Nc, Ng
doanh số		Na
chín sáp		Aa
chính đáng		Aa
dửng tóc gáy		Vit
định luật bảo toàn và biến hoá năng lượng		Na
giấy phép		Nc, Ng
cân ta		Nc, Ng
canh cải		Vt
cư trú chính trị		Vit
dăm		Nc, Nn
cá đối		Nc, Ng
diện kiến		Vt
địa đạo chiến		Vit
công quốc		Na
đài hoá thân		Nc, Ng
công nghệ học		Na
đậu Hà Lan		Nc, Ng
bố trí		Vt
cất giữ		Vt
đầu chày đít thớt		X
bún bò		Nc, Ng
cột trụ		Nc, Ng
cấp tính		Aa
chi khu		Nc, Ng
chơi với lửa		X
đường phổi		Nc, Ng
giếng khơi		Nc, Ng
dầu cù là		Nc, Ng
cổ nhân		Na
đãi đằng		Vt
cơ quan hành chính		Nc, Ng
cọp		Nc, Ng
dân doanh		Aa
con phe		Nc, Ng
con chú con bác		Nc, Ng
công chiếu		Vit
đơn vị tiền tệ		Na
kinh tuyến		Nc, Ng
cực đoan		Aa
cái thế		Aa
chùm gửi		Nc, Ng
cấm cố		Vit
dao tiện		Nc, Ng
cay chua		Aa
chỉnh thể		Na
chưng diện		Vit
giao hưởng		Ng
khăng khăng		Aa
dao vọ		Nc, Ng
cuốc chĩa		Nc, Ng
công bố		Vt
Đất Hứa		Na
dập		Vt
cư trú		Vit
côngtắc		Np
còng queo		Aa
điệp viên		Nc, Ng
cựu truyền		Aa
khởi nghiệp		Vit
ca trù		Na
cảnh báo		Na, Vt
chấm hỏi		Nc, Ng
cổ cồn		Nc, Ng
cứt su		Nc, Ng
chắt lót		Vt
chân mày		Nc, Ng
công phá		Vt
chúng sinh		Nc, Ng
cưa đứt đục suốt		X
cường quyền		Na
Cty		Np
chèo bẻo		Nc, Ng
công nhân quý tộc		Nc, Ng
cỏ rả		Nc, Ng, Aa
chỏi		Vt
chôn cất		Vt
cương vị		Na
chúa thượng		Nc, Ng
chưng hửng		Vitim
giải phẫu học		Na
cốt tử		Aa
cạp nia		Nc, Ng
chia li		Vit
CHXHCN		Np
cua nước		Nc, Ng
carbur		Np
chiến hữu		Nc, Ng
chung kết		Na
chơi vơi		Aa
chứng nghiệm		Vit
giới nghiêm		Vit
cơ cấu		Na
dê-rô		Np
cờ chân chó		Nc, Ng
bí tỉ		Aa
chữ ký		Nc, Ng
chuối vả		Nc, Ng
công dụng		Na
chụp giựt		Vit
giằng xay		Nc
định luật vạn vật hấp dẫn		Na
con nụ		Nc, Ng
bi luỵ		Aa
cặp mạch		Nc, Ng, Vit
chuyên môn hoá		Vt
cúc bấm		Nc, Ng
culit		Np
chân què		Nc
chỏng kềnh		Vit
dung nghi		Na
đa mưu túc trí		Aa
dồn nén		Vt
cuốc bàn		Nc, Ng
chào đón		Vt
chủ kho		Nc, Ng
cà sa		Nc, Ng
bọng		Nc
cựa quậy		Vit
chưởng lí		Na
duyên cách		Na
ghi đông		Nc, Ng
phóng thích		Vt
định mức kĩ thuật		Na
cá trác		Nc, Ng
chạm ngõ		Vit
chứng chỉ		Nc, Ng
dức lác		Vt
cứu quốc		Vit
cầu kinh		Vit
chiếu bóng		Vit
chững chàng		Aa
đỏng đa đỏng đảnh		Aa
giây phút		Nu
cơ quan chức năng		Nc, Ng
choắt		Aa
đại học sĩ		Nc, Ng
cậu		Nc, Ng
bĩnh		Vit
chi bộ		Nc, Ng
chia tay		Vt
dương oai		Vit
chủ nghĩa dân tộc		Na
khoa học xã hội		Na
hợp pháp hoá		Vt
cọ xát		Vit
cá ngạnh		Nc, Ng
cực chẳng đã		Aa
bỉ		Na, Ng, Vt, Vim, Vtim
dẫn thuỷ		Vit
chiến luỹ		Nc, Ng
chính kiến		Na
chồng chềnh		Aa
công nghệ cao		Na
đầu cua tai nheo		Vit
dị vật		Ng
căm xe		Nc, Ng
choảng		Vt
dàu		Aa
bỏ xừ		Vit
chủ chứa		Nc, Ng
cổ cày vai bừa		X
chôn chân		Vit
dong riềng		Nc, Ng
giáng sinh		Vit
hình học phẳng		Na
da liễu		Nc, Ng
chìm nổi		Aa
chi dụng		Vit
cá		Nc, Ng, Vt
chạo		Nc
cỗi nguồn		Na
chống nạnh		Vit
công nghệ		Na
đa phương		Aa
diêm nghiệp		Nc, Ng
giả đui giả điếc		Vit
crom		Np
chiếu đồ		Vit
chừng đỗi		Na
can hệ		Vit, Aa
cùi cụi		Aa
chuẩn hoá		Vt
cường kích		Nc, Ng
đại qui mô		Aa
giai cấp tính		Na
khụng khiệng		Aa
dấu nối		Nc, Ng
bọt biển		Nc, Ng
cha ông		Nc, Ng
dè		Vit
chăn		Nc, Ng, Vt
danh thần		Nc, Ng
cửa Khổng sân Trình		Np
công-xon		Np
đại huynh		Nc, Ng
không chiến		Vit
khấu trừ hao mòn		Vit
chìa vặn		Nc, Ng
cù bơ cù bất		Aa
chỗ phạm		Nc, Ng
cận kề		Vt
chè bồm		Nc, Ng
chuyển		Vt
chí thiết		Aa
đổng nhung		Na
chủ nghĩa Mác - Lê-nin		Na
hoà bình chủ nghĩa		Na, Aa
cu cu		Nc, Ng
cát sê		Na
chầm chậm		Aa
chơi bời		Vit
dảy		Vt
chép		Nc
cơ-lanh-ke		Np
dị nguyên		Na
đường đồng mức		Nc, Ng
đầu tắt mặt tối		Aa
đạt lí thấu tình		Aa
danh vị		Na
chủ trị		Vt
dây cáp		Nc, Ng
cua bể		Nc, Ng
calib		Np
danh vọng		Na
chiếu điện		Vit
diêm tiêu		Nc, Ng
cung phụng		Vt
độ ẩm không khí		Na
dằn mặt		Vit
catsê		Np
chèo kéo		Vt
đẹp đôi		Aa
bức		Nc, Nt
đảng bộ		Ng
cười xoà		Vit
diệt vong		Vit
đồng phẳng		Aa
giải phóng		Na, Vt
giải khuây		Vit
du cư		Vit
câu kẹo		Nc, Ng
bới bèo ra bọ		X
da cật		Nc, Ng
còm cõi		Aa
cúc vạn thọ		Nc, Ng
chiều tối		Nl
duy linh		Aa
được chăng hay chớ		X
giả ngô giả ngọng		Vit
luông tuồng		Aa
cơ mật		Aa
chằn chặn		Jd
đại phàm		Jd
cóc		Nc, Ng, Aa, Ja, I
cổ động		Vt
dầu đi-ê-den		Nc, Ng
duyệt y		Vit
công chứng		Na
đồng hương		Nc, Ng, Aa
dây thép gai		Nc, Ng
dự toán		Na, Vt
chủ suý		Nc, Ng
chạy bàn		Vit
dế mèn		Nc, Ng
bừa xốc		Nc, Ng
dung mạo		Na
cung đình		Nc, Ng
danh xưng		Na
gật gà gật gưỡng		Vit
hải dương học		Na
lan man		Aa
dấu câu		Nc, Ng
chữ môn		Nc, Ng
công chúa		Nc, Ng
cờ mao		Nc, Ng
chỉ số		Nu
dối già		Aa
công tâm		Na
chướng khí		Na
đại hồng thuỷ		Na
đèo heo hút gió		Np
dưa món		Nc, Ng
cận dưới		Nc, Ng
căn chỉnh		Vt
chúi nhủi		Vit
cục tác		Vit
cơ chế		Na
cung điện		Nc, Ng
động cơ điện		Nc, Ng
dương gian		Na
gạch silicat		Nc, Ng
đường gấp khúc		Nc, Ng
đầu não		Nc, Ng
cung cúc		Aa
cô-đê-in		Np
củ năn		Nc, Ng
búa đanh		Nc, Ng
cố gắng		Na, Vtv
công-tơ		Np
giả thiết		Na, Vt
đinh ghim		Nc, Ng
hương khói		Nc, Ng
kiểm toán viên		Nc, Ng
con xỏ		Nc, Ng
bồi trúc		Vt
chi chút		Vt
củ mỉ cù mì		Aa
cùng cực		Na, Aa
chín suối		Na
cây xanh		Nc, Ng
cương lĩnh		Na
đa dạng sinh học		X
đường hàng hải		Nc, Ng
lây truyền		Vta
đầu đanh		Nc, Ng
chi đoàn		Nc, Ng
dao nề		Nc, Ng
cá cược		Vit
cây cỏ		Nc, Ng
dễ thường		Jd
cương toả		Na
đánh giáp lá cà		Vit
đặc phái viên		Nc, Ng
hình học hoạ hình		Na
hát nam		Nc
cánh hẩu		Nc, Ng
chín cây		Aa
dâu da		Nc, Ng
đại cao		Nc
cùng quẫn		Aa
chính tang		Na
chuyển biến		Vit
chùng chiềng		Aa
gông xiềng		Nc, Ng
đâm bị thóc chọc bị gạo		X
dao yếm		Nc
cốt giao		Nc
đại bộ phận		Nn
có bề nào		X
chai lì		Aa
công văn		Nc, Ng
đại cương		Na, Aa
đời thuở nhà ai		X
doanh nghiệp		Nc, Ng, Vit
một chín một mười		X
kín mít		Aa
cong cớn		Aa
chí thân		Aa
ế ẩm		Aa
bới		Nc, Nt, Vt
danh tiết		Na
công quĩ		Nc, Ng
cười khẩy		Vit
đường thẳng		Nc, Ng
đối phương		Nc, Ng
liệt giường liệt chiếu		Aa
củ soát		Vt
chư ni		Nc, Ng
đánh hỏng		Vit
cà kếu		Nc, Ng
cân đai		Nc, Ng
dứt khoát		Aa
chủ xướng		Vt
dưỡng sinh		Vit
dân chủ xã hội chủ nghĩa		Na
giáo phường		Ng
cửa quan		Nc, Na
chen lấn		Vit
chúc tụng		Vt
gia công		Vt
chùa		Nc, Ng, Aa
choãi		Vt
danh tiếng		Na, Aa
đồng thoại		Na
công trạng		Na
khuây khoả		Vt
sơn xuyên		Na
dao trì		Na
dây dưa		Vit
chiết áp		Na
cán sự		Nc, Ng
ca nhi		Nc, Ng
đây đó		Pd
đại lí lãnh sự		Nc, Ng
đến Tết cũng chưa		X
điển chương		Na
giăng giăng		Vit
gieo gió gặt bão		X
cảm tình		Na
chinh an		Na
cười góp		Vit
cụ kỵ		Nc, Ng
đa nghĩa		Aa
dung tích		Nu
công khu		Ng
đất thịt pha		Nc, Ng
động cơ phản lực		Nc, Ng
giẫm chân tại chỗ		X
cua-roa		Np
chẩn đoán		Vt
cổ phiếu		Nc, Ng
cuỗm		Vt
bùng nổ		Vit
cảm giác		Na, Vit
chấn song		Nc, Ng
cung phi		Nc, Ng
đáy biển mò kim		X
nhân đạo chủ nghĩa		Aa
lao động tất yếu		Na
cung nữ		Nc, Ng
châu báu		Nc, Ng
chiêm bao		Vit
bờ mỏ		Nc, Ng
chả bù		X
diễn viên		Nc, Ng
điện thoại		Nc, Ng, Vit
đồng thiếp		Vit
điệp báo viên		Nc, Ng
cơm hàng cháo chợ		X
đàn tàu		Nc, Ng
cosin		Np
chịu đựng		Vt, Vim, Vtim
chiến phí		Na
cá ngần		Nc, Ng
chắc hẳn		Ja
cướp đoạt		Vt
dựng tóc gáy		Vit
cùn đời mạt kiếp		X
hương binh		Ng
đa nguyên luận		Na
đào tẩu		Vit
chuôm		Nc, Ng
chễnh chện		Aa
bòn		Vt
cạch		Vt
chừng độ		Na
công thần		Nc, Ng, Aa
duyên kỳ ngộ		Na
dùi đục chấm mắm cáy		X
ghét đào đất đổ đi		X
cửu vạn		Nc, Ng
dollar		Np
chủ sở hữu		Nc, Ng
coi chừng		Vt
dã tâm		Na
chân lý		Na
cong veo		Aa
chủ nghĩa tự do		Na
chuồng trại		Nc, Ng
giờ hành chính		Nu
giữ mồm giữ miệng		Vit
đa mưu		Aa
du xích		Nc
độc thoại		Vit
cần		Nc, Vt, Vim, Aa
căm hờn		Vitim
chổi rễ		Nc, Ng
công tử bột		Nc, Ng
đay nghiến		Vt
giấy thiếc		Nc, Ng
hội đồng nhân dân		Nc, Ng
hiện tượng luận		Na
cờ quạt		Nc, Ng
cập nhật		Vt, Aa
chim ri		Nc, Ng
cần xé		Nc, Ng
canh cửi		Vit
cửu tuyền		Na
cổ động viên		Nc, Ng
cửu lý hương		Nc, Ng
điện sinh lí học		Na
hoãn binh chi kế		Np
dột từ nóc		X
dân quốc		Na
công bạt		Nc
dam		Nc
bù trì		Vit
chạp mả		Vit
cười ruồi		Vit
ephedrin		Np
chuyển biên		Vit
đinh hương		Nc, Ng
lướt tha lướt thướt		Aa
đan xen		Vt
cần tây		Nc, Ng
chính thể		Na
dẻo		Aa
che		Nc, Vt
clarinet		Np
cồng trắng		Nc, Ng
công phạt		Vt
đằng vân giá vũ		Vit
giáo học pháp		Na
đào tơ liễu yếu		X
da bánh mật		Nc, Ng
cuốc chim		Nc, Ng
công lịch		Na
cá lạc		Nc, Ng
calip		Np
chứa chấp		Vt
công huân		Na
đồng hồ báo thức		Nc, Ng
hội thương		Vit
đầu trâu mặt ngựa		Np
đàm luận		Vt
chẩn trị		Vit
chấp nhận		Vt, Vim, Vtim
dăn		Vit
cốp		Nc, Ng, Vt
dái chân		Nc, Ng
chuyển di		Vt
chủ nghĩa Marx		Na
chủ nghĩa duy mỹ		Na
đại biện lâm thời		Nc, Ng
nghe hơi nồi chõ		Vit
đất nước		Nc, Ng
chữ viết		Nc, Ng
cường địch		Nc, Ng
cá nước		Nc, Ng
cặp kèm		Aa
chi li		Aa
dân tộc chủ thể		Na
đào nguyên		Na
đái tháo đường		X
giục như giục tà		X
gắt như mắm tôm		X
câu rút		Nc, Ng
chuẩn đích		Na
dắt dẫn		Vt
dấm dẳng		Aa
chiến cục		Nc, Ng
cưỡng đoạt		Vt
điêu linh		Aa
đè chừng bắt bóng		Vit
hấp ta hấp tấp		Aa
công nghệ phẩm		Na
cước vận		Na
com-măng		Np
cơ ngơi		Na
dạ cầm		Nc
căn bệnh		Na
chòi mòi		Nc
điều tiếng		Na
cung quăng		Nc, Ng
đi đường vòng		X
gửi trứng cho ác		X
lau láu		Aa
cuốc bướm		Nc, Ng
chân quì		Nc, Ng
chồng chất		Vit
cổ địa lí		Na
chói		Vt, Aa
cú pháp		Na
dương lịch		Na
cung phản xạ		Na
già chơi trống bỏi		X
định luật bảo toàn		Na
đèn neon		Nc, Ng
dao vôi		Nc, Ng
chưởng lý		Na
cụ non		Na
biến số		Na
cha chủ sự		Nc, Ng
đảng tranh		Na
chủ nghĩa vị lai		Na
đương nhiệm		Aa
liệu gió phất cờ		X
mamut		Np
cựu thần		Nc, Ng
chán ngắt		Aa
chìm nghỉm		Vit
bí tử		Ng
chia vè		Vit
cốp pha		Nc, Ng
dịch chuyển		Vt
công tác phí		Nc, Ng
ghét cay ghét đắng		Vt, Vim, Vtim
mặt tròn xoay		Nc, Ng
CEF		Np
cống vật		Nc, Ng
cỏ roi ngựa		Nc, Ng
dạn dĩ		Aa
cáo buộc		Vt
chát chúa		Aa
cơ giới		Na, Aa
đảng cương		Na
cybernetic		Np
gạo châu củi quế		X
nuột nà		Aa
dầu nhớt		Nc, Ng
chuối lùn		Nc, Ng
chính lệnh		Na
cacao		Np
bọng		Nc
duyên do		Na
du học sinh		Nc, Ng
địa phương		Ng, Aa
hình học phi Euclid		Na
linh thiêng		Aa
luộm thà luộm thuộm		Aa
danh sư		Nc, Ng
công cuộc		Na
chủng loại		Na
cóc nước		Nc, Ng
cảnh gần		Nc, Ng
doanh trại		Nc, Ng
đò nát đụng nhau		X
hành tá tràng		Nc
đội trời đạp đất		X
hình hộp chữ nhật		Nc
dịu nhỉu		Aa
cội nguồn		Na
chuẩn chi		Vit
cu		Nc
bính		Na, Aa
chích		Vt, Vit
côngxon		Np
đánh chính diện		Vit
đầu đường xó chợ		X
giá sinh hoạt		Na
hữu dũng vô mưu		Aa
dầu tẩy		Nc, Ng
cột xăng		Nc, Ng
đả thông		Vt
cục cằn		Aa
chín rục		Aa
chiến bại		Vit
đường ray		Nc, Ng
chủ nghĩa Mác-Lê-nin		Na
hà thủ ô trắng		Nc
giông giống		Aa
mụ vườn		Nc
danh tính		Na
diễu binh		Vit
dầu		Nc, Ng, Aa
bù xù		Aa
chó ngao		Nc, Ng
dòng điện một chiều		Nc, Ng
điều tra cơ bản		Vit
đương qui		Nc, Ng
hồng nhan bạc phận		X
gương phẳng		Nc, Ng
bĩ		Aa
chuyến		Nu
chiêu dân		Vit
cổ vũ		Vt
bộc trực		Aa
chấp nê		Vit
dương thế		Na
cương nghị		Aa
đánh trống ngực		Vit
hằng bất đẳng thức		Na
phôi sinh học		Nc, Ng
cơm nước		Nc, Ng
dân sinh		Na
đinh lăng		Nc, Ng
canh		Nu, Nc Vt
cù nhầy		Vit
chữa cháy		Vit
đai truyền		Nc, Ng
giáp trạng		Ng
fibroximăng		Np
khai phương		Vit
cạ		Vt
dầu tây		Nc, Ng
chú trọng		Vt
diệp thạch		Nc, Ng
cau bụng		Nc, Ng
chầu chực		Vit
chơi chữ		Vit
hành động sân khấu		Na
ghen tuông		Vitim
giải nguyên		Na
hỗn quân hỗn quan		Aa
đạo luật		Na
đang tay		Vt
đậu phộng		Nc, Ng
cổ tục		Na
chốc lở		Na
dây gắm		Nc, Ng
gia quyến		Nc, Ng
đường ngôi		Nc, Ng
địa phương chủ nghĩa		Aa
đồng hồ bấm giây		Nc, Ng
dẻ		Nc, Ng
diệt trừ		Vt
chỉnh trị		Vt
dắt dìu		Vt
cầu cạnh		Vt
chép		Nc, Vt
dây thun		Nc, Ng
đoạn trường		Aa
điệu hổ li sơn		Vit
giáp trưởng		Nc
muộn mằn		Aa
đễ		Na
dưa tây		Nc, Ng
đậu phụ nhự		Nc, Ng
cuốc		Nc, Ng, Vt
cảnh bị		Vit
cách ly		Vt
điện thoại viên		Nc, Ng
đường cái quan		Nc, Ng
hội hợp thiện		Ng
kinh tế hàng hoá		X
dựa		Vt
điếu văn		Nc, Ng
dâu tây		Nc, Ng
giao liên		Nc, Vit
cố cư		Vit
châm cứu		Vit
điệp ngữ		Na
đong lường		Vit
đông nghìn nghịt		Aa
hiệu ứng nhà kính		Na
khủng hoảng nội các		Na
đũa		Nc, Ng
duyên cớ		Na
côtông		Np
công binh		Nc, Ng
chuẩn độ		Vit
chặn đứng		Vt
gia binh		Nc, Ng
hiđrocacbon		Np
hữu khuynh		Aa
múa rìu qua mắt thợ		X
ngông nghênh		Aa
bức		Nc, Nt, Vt
cuồng si		Aa
đường chéo		Nc, Ng
cốc vũ		Nc, Ng
có mới nới cũ		X
cơ chừng		Jd, Ja
cửu chương		Nc, Ng
điều nghiên		Vit
hắc tinh tinh		Nc
luật tố tụng dân sự		Nc, Ng
sản vật		Nc, Ng
địa triều		Na
côngtơ		Np
giấy nhám		Nc, Ng
bữa tê		Nl
cắt giảm		Vt
doạ già doạ non		Vit
đồng lương		Na
đen nhưng nhức		Aa
động cơ đốt ngoài		Nc, Ng
khật khà khật khừ		Aa
cọc		Nc, Ng, Aa
chịu tang		Vt
chải chuốt		Vit, Aa
cù nèo		Nc, Ng
chí sĩ		Nc, Ng
cước phí		Na
chư tướng		Nc, Ng
dưới trướng		X
há miệng mắc quai		X
giơ đầu chịu báng		X
hình không gian		Nc
đấu thầu		Vt
dị thường		Aa
da dầu		Nc, Ng
cót két		Aa
bội tình		Vit
chì chiết		Vt
gác điêng		Np
giày mõm nhái		Nc, Ng
đơn phương		Aa
sinh khoáng học		Na
dóc		Vt, Aa
cứu tinh		Na
chính trực		Aa
cửa nẻo		Nc, Ng
búi tó		Nc, Ng
chiêu dụ		Vt
dạ lan hương		Nc, Ng
giở giọng		Vt
giải thưởng		Na
lao động phức tạp		Na
mức nước tuyệt đối		Na
đắc ý		Aa
cứng quèo		Aa
gan liền tướng quân		X
cúc cu		Vit
cấu hình		Na
chính ngọ		Nl
dưỡng sinh		Vit
đi đêm về hôm		Vit
đen nghìn nghịt		Aa
hi thiêm thảo		Nc
dụ dỗ		Vt
dầu giun		Nc, Ng
công quỹ		Nc, Ng
đẳng hướng		Aa
cải tổ		Na, Vt
cây cọ		Nc, Ng
đại gia súc		Nc, Ng
định hướng từ		Vit
đũa mốc chòi mâm son		X
giao thương		Vit
gạch thông tâm		Nc, Ng
đumđum		Np
đàn tràng		Nc
dây dướng		Vt
dầu cốc		Nc, Ng
cô quả		Aa
chiến hạm		Nc, Ng
gẫu chuyện		Vit
đường hướng		Na
độc thoại nội tâm		Na
giải tích toán học		Na
không mấy khi		Jr
đồ đệ		Nc, Ng
đại đoàn kết		Vt
đương đại		Aa
con bé		Nc, Ng
chang		Aa
dịch giả		Nc, Ng
đối nghịch		Aa
hàng không mẫu hạm		Nc
giới thuyết		Na, Vit
như diều gặp gió		X
kìa		Pd
feldspat		Np
đàn thập lục		Nc, Ng
dự luật		Nc, Ng
chộn rộn		Aa
chủng tộc		Na
đánh bùn sang ao		X
gắp lửa bỏ bàn tay		X
đất lành chim đậu		X
giương mắt ếch		X
nón tu lờ		Nc, Ng
địa đồ		Nc, Ng
dương bản		Na
đa thần giáo		Na
cà ròn		Nc, Ng
cầy cục		Vit
chửa hoang		Vit
đôi khi		Jr
đen trùi trũi		Aa
đầu bạc răng long		X
giội gáo nước lạnh		X
ếm		Vt
bới		Nc, Nt, Vt
chim đầu đàn		Nc, Ng
điện nghiệm		Ng
cảm tính		Na
chính tắc		Aa
đại hoàng		Nc
dây chuyền		Nc, Ng
định lí phản nhau		Na
giải trừ quân bị		Vit
giữa đường đứt gánh		X
mandolin		Np
dư lượng		Ng
điếu phạt		Vit
cao cồn		Nc
cá biệt		Aa
cưỡng chế		Vit
dấp giọng		Vit
đương thời		Nl
giấy khai hải quan		Nc, Ng
điện thoại di động		Nc, Ng
ỉn		Vit
chúa		Nc, Ng, Aa, Jd
đầu bù tóc rối		X
đánh chim sẻ		Vit
cuồng nộ		Aa
chèm nhèm		Aa
chính cống		Aa
đánh thọc sâu		Vit
giáp giới		Vt
phiên phiến		Aa
đốt cháy giai đoạn		Vit
làm vườn		Vit
đồng mưu		Vit
cuồng chiến		Aa
da rạn		Nc, Ng
ca rô		Ng
cập kê		Aa
chọn phối		Vit
giấy trắng mực đen		X
hợp tình hợp lí		X
hải quân lục chiến		Ng
hiệp định khung		Ng
của độc		Nc, Ng
công tử vỏ		Nc, Ng
chung đỉnh		Na
cử toạ		Nc, Ng
cháo lú		Nc, Ng
chiếm dụng		Vt
đế nghiệp		Na
điện sinh lý học		Na
giá trị trao đổi		Na
giương vây		Vit
lọt sàng xuống nia		X
đánh vỗ mặt		Vit
cường điệu		Vit
cuốn		Nc, Nt, Vt
cá nhám		Nc, Ng
chần chờ		Vit
cơ khí hoá		Vt
cõng rắn cắn gà nhà		X
đại lượng tỉ lệ nghịch		Na
đường lối chung		Na
thông phong		Na
bờm		Nc, Ng
chừ bự		Aa
công toi		Na
dân dấn		Vt
cảm hoá		Vt
đại bàng		Nc, Ng
cương trực		Aa
đầu gối tay ấp		X
giật cánh khuỷu		Vit

gặp chăng hay chớ		X
duyên nợ		Na
dung môi		Nc, Ng
gia đình trị		Vit
dài mồm		Aa
cất giấu		Vt
chính đính		Aa
giới tuyến		Nc
điều ăn tiếng nói		Na
già còn chơi trống bỏi		X
lành chanh lành chói		Aa
bón		Vt, Aa
cải bẹ		Nc, Ng
dãi gió dầm mưa		X
dư nợ		Na
choán		Vt
chủ điểm		Na
cười duyên		Vit
chủ nghĩa quốc tế		Na
hiđroclorua		Np
há miệng chờ sung		X
tua-vít		Np
đeca-		Np
dài thượt		An
dây lưng		Nc, Ng
câu nệ		Vit
cao đẹp		Aa
chính thị		Jd
đêm trường		Nl
hàng không vũ trụ		Na
khai trương		Vt
đồng tịch đồng sàng		X
cẩn		Vt
củ cải		Nc, Ng
chuyển dời		Vit
công phu		Na, Aa
bù trừ		Vt
chè hạt		Nc, Ng
đánh ghen		Vit
hiệp nghị		Ng
khuyến nông		Vit
giờ địa phương		Nu
trông giỏ bỏ thóc		X
cỗ áo		Nc, Ng
đá hộc		Nc, Ng
đàn hương		Nc, Ng
đưa ma		Vit
chất rắn		Nc, Ng
châu thổ		Nc, Ng
cung trăng		Nc, Ng
gây gấy		Aa
hữu tài vô hạnh		Aa
thép không gỉ		Nc, Ng
dàn		Nc, Ng, Vit
cực kì		Jd
dương mai		Na
đời thường		Aa
dạ yến		Nc
cản phá		Vt
cúng giỗ		Vit
giai phẩm		Na
được bữa nào xào bữa ấy		X
ngường ngượng		Vitim, Aa
khách quan chủ nghĩa		Aa
do		Nc, Cm
cổ đại		Na
đồng ruộng		Nc, Ng
dấm dứt		Aa
chết mệt		Vit
chui rúc		Vt
điều qua tiếng lại		Np
giảng thuật		Vit
hồng huyết cầu		Ng
gạo chợ nước sông		X
huấn luyện viên		Nc, Ng
cá lóc		Nc, Ng
cuộn thứ cấp		Nc, Ng
độc mồm độc miệng		Aa
cá sặt		Nc, Ng
cập kèm		Aa
chiềng		Nu, Vt
duyên phận		Na
giải quyết		Vt
lo bò trắng răng		X
Thiên Vương Tinh		Np
doa		Vt
cợp		Vit, Aa
điểm trang		Vit
chung khảo		Na
cười nắc nẻ		Vit
chân quỳ		Nc, Ng
chổng kềnh		Vit
đánh tiêu hao		Vit
đường trường		Nc, Ng
phỏng sinh học		Na
lực lượng sản xuất		Nc, Ng
cỗ bàn		Nc, Ng
đại độ		Aa
duyên hài		Na
dao bầu		Nc, Ng
cân kẹo		Nc, Ng, Vit
chơi đùa		Vit
điện trường		Na
đạo quân thứ năm		Nc, Ng
lao động thặng dư		Na
giấy tăngxin		Nc, Ng
ỉu		Aa
dép		Nc, Ng
cương vực		Na
đôi mươi		Nn
cư sĩ		Nc, Ng
chầu chẫu		Aa
chính thức		Aa
giúp rập		Vit
đơn vị học trình		Na
logic hình thức		Na
đại công nghiệp		Na
dàn bè		Ng
duyên số		Na
đánh vu hồi		Vit
cứu tế		Vit
biệt mù		Aa
chả chớt		Aa
đạo Thiên Chúa		Na
giả thuyết		Na
hàng tôm hàng cá		X
lằng nhà lằng nhằng		Aa
ếch ngồi đáy giếng		X
cổ địa lý		Na
chọi		Vt
đường rầy		Nc, Ng
dạo đầu		Vit
coi rẻ		Vt, Vim, Vtim
chúng mình		Pp
chống chếnh		Aa
đèn huỳnh quang		Nc, Ng
hạch toán kinh tế		Vit
kiến giả nhất phận		X
dò dẫm		Vt
